smiles,electronic_energy,HOMO_LUMO_gap,dipole_moment,crystal_density,heat_of_formation
CCOC1OC=NC2=NC(=N)OC(=O)N2C1=O,-904.7652992,4.8640735,8.0571,1.625,-144.556
[O-][N+](=O)C1=CC2=C(CC(=O)N2)O1,-641.3133043,3.892891496,3.2616,1.677,-53.62
[O-][N+](=O)C1=CC(=O)C=NC=N1,-582.0956743,3.987587864,3.0375,1.602,26.056
[O-][N+](=O)C1=COC(=N1)C(=O)C#C,-640.023674,4.992240136,1.5767,1.643,8.765
CC(O)C(=N)OC1=C(N)N(N=N1)C(=O)NC=O,-902.1529276,4.269227924,4.598,1.567,-107.02
CC(=O)NC(=N)OC1=NC=C2ON=NC(=O)N12,-899.6668214,3.221581324,3.7804,1.665,-33.811
COC1=CNN=C(C1=O)[N+]([O-])=O,-658.530355,4.301881844,7.4593,1.701,-36.539
[O-][N+](=O)C1=NN(C=N1)C(=C)C=O,-637.4607628,4.965300652,6.7254,1.609,24.895
NC1=CC(C=NO)=C(O1)[N+]([O-])=O,-658.5157914,3.7347921,7.139,1.727,-29.778
CC1=NN=NC(N)=C1[N+]([O-])=O,-579.4947708,3.981329196,2.3029,1.597,57.613
ON1C=CC(=NC1=N)[N+]([O-])=O,-599.3404085,3.44498856,3.8328,1.658,24.424
[O-][N+](=O)C1=CC2=C(N1)C(=O)NN2,-637.4810163,3.696151628,4.1351,1.721,8.406
CCN1C(OC2=NNC(=N)O2)=CN=C1[N+]([O-])=O,-900.812766,3.940783912,4.6887,1.618,-5.845
CC1=NOC(=O)N1C(=O)OC1OC(=O)CC1O,-945.735311,6.236626604,5.8649,1.663,-268.499
COC1=C(CN)N=C(O1)[N+]([O-])=O,-659.7545223,3.885544364,5.475,1.532,-57.257
[O-][N+](=O)C1=NOC2=C1NCCO2,-658.5077224,3.353013352,6.7097,1.684,-20.289
[O-][N+](=O)C1=NN2N=CC(=O)C2=C1,-636.2156971,4.070311128,4.2952,1.706,59.235
CC(O)(COC1=NOC2=NNN=C2C1=O)C=O,-904.6682354,4.661619196,3.214,1.612,-83.281
CC(O)C(NC=N)C1=NOC(=N1)[N+]([O-])=O,-808.5463624,3.049876128,3.5663,1.563,-26.78
CC(=O)C1=C(ON=N1)C(=O)C(O)(CO)C(N)=O,-925.8090942,4.94298714,3.8687,1.583,-184.216
CC(=O)OC1=NOC2=C1C1=C(OC2=O)C=NO1,-906.0998972,4.371815656,3.8492,1.702,-122.133
CC(OC(N)=O)C(=O)NC1=NC2=C(O1)N=CO2,-904.7859697,5.009383444,1.7162,1.644,-159.32
CC1=NN(C2=C(N)N=NO2)C(=O)C(=N)O1,-786.3343739,3.814249972,2.4685,1.608,6.883
CC(=O)NC(=O)CC(N1N=NN=N1)C(=O)C#N,-879.8009232,4.787064672,8.1655,1.535,7.073
OCCC1=NN(O)C(=C1)[N+]([O-])=O,-659.7019304,4.525833312,5.4217,1.596,-26.794
CC(=NO)C1=C(N=NOC1=O)N1C=NN=N1,-840.3730448,3.757105612,1.4647,1.658,92.644
CNN1C=C(C(N)=N1)[N+]([O-])=O,-580.7083905,4.25589424,5.1181,1.513,38.909
CC(OC=O)C(N)=NC1=NC(C=O)=NC(=O)O1,-904.7923838,4.367733916,7.0608,1.633,-162.935
[O-][N+](=O)C1=CC(=O)NC(=N)N1,-599.4217221,3.463764564,2.3808,1.679,-28.305
[O-][N+](=O)C1=NC2=C(OC2)C(=O)N1,-657.3219027,3.567712876,2.9662,1.732,-21.893
NCC1=C(O)C(=NO1)[N+]([O-])=O,-620.4123105,4.28854816,8.6355,1.703,-35.126
NN1C=C(C(=O)C=C1N)[N+]([O-])=O,-638.6801255,4.342427128,11.1887,1.79,-6.154
CC(=O)N1C=C(N)N=C1[N+]([O-])=O,-638.713309,3.696423744,7.6038,1.578,-20.94
CC1=C(C(=O)C(C#N)=C2NN=NN12)[N+]([O-])=O,-823.1454226,4.107046788,7.7716,1.717,72.579
CC(NC=O)C1=NC(=O)OC(=NC1=N)C(O)=O,-904.7797628,4.146503608,2.399,1.614,-156.607
NCC1=C(N(O)C(O)=C1)[N+]([O-])=O,-659.7267905,4.006091752,2.8175,1.615,-39.471
CC(=O)C1=NN2N=NC(=O)NC(=N)C2=NC1=O,-878.5213925,3.346482568,1.3453,1.657,71.861
OC1=C(C(=N)N=NC=C1)[N+]([O-])=O,-637.4202342,3.456689548,4.4759,1.623,51.277
[O-][N+](=O)C1=NC(OC2CC2)=NN1,-638.6602536,4.010173492,2.0547,1.557,11.703
CC1=NC(OC2=NN(C=N2)C(N)=O)=NNC1=O,-879.8855527,4.376713744,2.6466,1.626,-42.251
NC1=CC(=NC=N1)[N+]([O-])=O,-524.1979413,4.468961068,6.0397,1.636,12.381
CC1=C(N)OC2=NN=C(O)N2C(=O)OC(O)=C1,-904.7205195,3.899966512,2.3939,1.648,-111.956
COC1=NN=CC(=N1)[N+]([O-])=O,-599.3544245,3.863502968,3.3691,1.583,18.54
NN1C(=CC2=C1N=CO2)[N+]([O-])=O,-637.4417831,4.096978496,3.1488,1.682,36.255
CC1(OCC(=O)CO1)C(=NO)C1=NON=N1,-866.4937997,4.473042808,3.0406,1.597,-44.821
NC1=NC(C2CO2)=C(N1)[N+]([O-])=O,-638.6899027,4.087454436,5.6603,1.666,-12.413
[O-][N+](=O)C1=NN=C2COC=CN12,-637.4479018,4.040378368,5.8605,1.665,31.793
[O-][N+](=O)C1=C2CCN2C(=O)O1,-603.1784713,4.304330888,7.1897,1.667,-43.863
[O-][N+](=O)C1=C(CC=O)OC=N1,-603.2040743,4.946252532,5.1862,1.62,-56.895
CC(=O)C1=C(OC2=C1OCO2)C1=NON=N1,-848.046897,3.621591844,6.7089,1.672,-34.529
CC1=C(N=C(O)NC=C(O)N=C1C=O)[N+]([O-])=O,-904.6113225,3.361176832,4.3296,1.6,-43.09
[O-][N+](=O)C1=NN2C=NCC2=N1,-578.2823605,5.338371688,5.3819,1.675,70.872
CON1C=C(C=O)C(=N1)[N+]([O-])=O,-658.4905141,4.505424612,5.1821,1.589,-5.794
NC1=CC(=NC(O)=C1O)[N+]([O-])=O,-658.6095709,4.101604468,5.8272,1.76,-88.738
CC1=CC(=O)C(=N)OC2=NOC(O)=NOC2=N1,-903.3832435,4.190042168,2.5751,1.647,-16.641
[O-][N+](=O)C1=NNC2=C1OCOC2,-658.5327235,4.707878916,7.4784,1.756,-39.419
CC1=C(NC(=O)C(N)C(=O)NC(N)=O)N=NO1,-902.1817894,5.486402792,5.4371,1.584,-125.264
O=C1OC2=C(O1)C1=NN=CC1=N2,-618.9984251,2.25312048,3.0107,1.756,41.698
NN1N=C2CC(O)C2=C1[N+]([O-])=O,-638.5922981,3.837379832,1.3064,1.591,54.046
CC1=C(N)N=C(OC1=O)[N+]([O-])=O,-658.5959087,3.624040888,6.9519,1.646,-77.184
CC(=O)C(=O)C(C(N)=N)C1=C(OC=N1)[N+]([O-])=O,-904.6555959,4.104597744,2.4079,1.582,-73.492
[O-][N+](=O)C1=NC(=O)N=CN1,-560.0815279,4.05180724,6.1675,1.835,-11.717
ON=C1C=CN=C(N=C1)[N+]([O-])=O,-637.3869479,3.68989296,3.7303,1.606,70.51
CC1=C(N=C(OC1=N)C1=NC=NN=N1)[N+]([O-])=O,-878.4784383,3.638735152,1.0237,1.622,100.292
[O-][N+](=O)C1=NNC2=C1COC2=O,-657.3521073,5.392522772,1.4735,1.747,-41.393
CC(N(C=O)C=O)(C(O)=O)C1=NC=NC(O)=N1,-904.8243277,5.86001806,2.2205,1.635,-179.761
[O-][N+](=O)C1=CN=NC2=CON=C12,-636.1857273,3.516827184,3.4415,1.719,80.822
OCCNC1=CON=C1[N+]([O-])=O,-659.7207437,3.680641016,4.3624,1.54,-35.925
CC1=NC(=O)N=CN=C(NCC=O)OC(=O)O1,-904.8130319,4.54569778,4.074,1.582,-176.246
OCC1=C(OC=N1)[N+]([O-])=O,-565.0954097,4.76203,3.7217,1.649,-63.402
CC(N)C1=NC(OC2=NOC(=O)N=C2N)=NO1,-900.874042,4.9252996,6.7121,1.643,-51.295
CC1=NC2=C(O1)OC1COC(=O)C1(O2)C(O)=O,-928.4599674,4.969926624,5.1446,1.717,-248.178
CC1=NC(=NNC1=O)[N+]([O-])=O,-599.3845235,4.395489748,3.4403,1.631,-3.691
O=C1C=C2C(OC3=NON=C23)=N1,-618.9970574,4.003370592,2.1381,1.748,43.91
[O-][N+](=O)C1=CN=NC=NC1=O,-598.0845839,3.231649616,4.06,1.681,66.664
OCC1=C(C=C(O)N1)[N+]([O-])=O,-604.4300894,4.122285284,4.9644,1.704,-87.276
[O-][N+](=O)C1=NC(ON1)=NC1CC1,-638.6040177,2.788372652,1.2109,1.544,46.661
CC(=O)OC1=NC(C=O)=NC(=O)C(=N)C(=O)N1,-903.5476198,4.210450868,4.6,1.612,-123.126
CCC(=O)N1N=C(N=C1N=C(N)OC)[N+]([O-])=O,-902.0893607,4.258343284,5.041,1.532,-62.663
CC(=O)N1N=C(C=C1O)[N+]([O-])=O,-658.5836635,4.331542488,3.9142,1.617,-63.902
CC(N)(C1=NON=N1)C1=C(O)OC(=N1)[N+]([O-])=O,-936.6447171,4.243104788,4.4327,1.698,3.841
[O-][N+](=O)C1=NNC=C1C(=O)C#N,-636.2440698,4.974552596,6.6192,1.679,36.795
CC1=C(OC(N)=NC1=O)[N+]([O-])=O,-658.5897219,4.239023048,3.9894,1.704,-74.759
NCCOC1=NC(=CO1)[N+]([O-])=O,-659.7677888,4.510866932,5.7584,1.531,-66.456
CN1C=NC(=NC1=O)[N+]([O-])=O,-599.4099212,5.04230948,7.3089,1.641,-21.26
[O-][N+](=O)C1=CON2CC(=O)N=C12,-657.2892038,4.323106892,6.4815,1.75,-4.465
COC(=C)C1=NN=C(O1)[N+]([O-])=O,-658.507272,3.904320368,6.3528,1.562,-15.79
O=C1C2=C(N=CO2)C2=C1ON=N2,-619.0570844,3.638463036,4.361,1.716,-0.312
CCC1=C(N(O)N=N1)[N+]([O-])=O,-600.5122468,4.954416012,1.6318,1.548,35.33
CC1=C(NC(=O)C(N)=N1)[N+]([O-])=O,-638.7567762,3.60689758,4.5696,1.606,-46.484
CC(OC1=NNC(=NC(=O)C1=O)[N+]([O-])=O)C#N,-919.4299531,3.880918392,6.1819,1.659,-20.988
[O-][N+](=O)C1=NN2C(=C)C=NC2=N1,-616.3685234,4.345148288,8.3617,1.656,92.327
O=C1C2=C(N=NO2)C2=C1N=CO2,-619.0545841,3.84635966,5.2612,1.717,1.265
CC(=O)NC(=N)C1=C(OC=O)N=C(N)OC1=O,-904.8345967,4.667061516,6.5195,1.674,-189.423
CC1=NC=C(OC2=C3N=NON=C3NC2=O)O1,-882.348829,3.324985404,2.3841,1.654,16.089
CC(N=C1ON=C(C(O)=O)C(O)=N1)C(=O)C#N,-903.4880619,4.149224768,3.6205,1.614,-90.953
CC1=NN(C=O)C(=C1N)[N+]([O-])=O,-638.7066824,4.076569796,6.9209,1.609,-15.957
NNC1=NOC(C#C)=C1[N+]([O-])=O,-637.3577745,3.893707844,2.142,1.594,82.332
NCC(=O)N1C=CN=C1[N+]([O-])=O,-638.698925,4.720940484,5.7498,1.559,-10.426
CC(O)C1OC(=O)C(OC=O)(C(=O)CO)C1=O,-950.7509684,5.178911712,2.711,1.597,-328.022
CC(=N)OC(=O)C1=C(O)OC(=O)N=C(N)C1=N,-904.7905254,4.564473784,2.9002,1.648,-158.612
NC1=CN(C=O)C(O)=C1[N+]([O-])=O,-658.5963523,3.238452516,1.4369,1.66,-73.664
CCOC(=N)NC(=O)C(=O)N1N=NC(=O)N=N1,-916.8723765,3.954389712,8.233,1.605,-12.719
CC1=C(NN=C1[N+]([O-])=O)C=O,-583.3472309,5.343269776,3.6932,1.553,-14.248
CCNC(=O)N(C(=N)NC=N)C1=NOC(=O)O1,-902.1581746,6.046145404,5.6394,1.576,-109.473
CC(=O)C1=C(NC(N)=C1[N+]([O-])=O)[N+]([O-])=O,-827.184991,3.86132604,6.6198,1.715,-47.87
OC1=C(NC(=N)O1)[N+]([O-])=O,-581.1529399,3.708396848,2.0743,1.781,-63.622
CC1=NC(=O)OC(=N)NC(=NC=C1O)C(O)=O,-904.7443765,3.77969124,8.0569,1.7,-127.48
NC1=CN=C(N1O)[N+]([O-])=O,-561.2385674,3.79465762,6.3877,1.76,9.301
CC1OC2=C(O)C(CO)=C(O2)OCOC(=O)O1,-950.6977792,5.353610184,3.5771,1.651,-288.903
[O-][N+](=O)C1=CON=C1CON=C,-658.4556109,4.529098704,1.0949,1.549,17.26
ON1N=CC(CC=N)=C1[N+]([O-])=O,-638.6133968,4.374808932,2.5208,1.556,45.152
CC1=NC(OC(=N)C#N)=NC(=O)OC(=N)C1=O,-882.4215432,4.31712034,5.2563,1.609,-36.161
[O-][N+](=O)C1=CC=NC(=N1)[N+]([O-])=O,-673.3036793,4.608556576,5.2197,1.741,27.594
[O-][N+](=O)C1=NC=NC2=CNN=C12,-616.403503,4.201198924,6.4686,1.72,70.072
NC1=C(C(=O)OC=N1)[N+]([O-])=O,-619.2882158,4.830875348,6.4785,1.806,-76.192
[O-][N+](=O)C1=C(ONC1=O)N1CC1,-658.4868169,5.09673268,7.8133,1.706,-12.487
